title,channel,outlier,subs,published,url,found_via,about_ai,evergreen_llm,shape,adapt,why
The Entire AI Data Center Explained — From Electricity to ChatGPT,"Leo Cui, Ph.D., CFA ",9.79,9640,2026-07-29,https://www.youtube.com/watch?v=ckoi0RTEgcY,ai-native,ai,yes,explainer,Use the same electricity-to-output chain structure (raw input → hidden infrastructure → familiar product) for any AI mechanism video.,"Directly explains AI infrastructure and describes a durable mechanism, not a dated event."
How Data Centers Actually Work,MEP Academy,9.36,102000,2026-07-29,https://www.youtube.com/watch?v=cTwvUqLNQrM,ai-native,adjacent,yes,explainer,Borrow the systems-explainer structure (physical infrastructure demystified) and apply it to an AI-specific pipeline like model training clusters.,"About data centers generally rather than AI, but explains a mechanism that stays true indefinitely."
The TRUTH About AI Data Centers ($$ Edition),The Wall Street Skinny,5.74,21800,2026-07-29,https://www.youtube.com/watch?v=T5LYwGOeDbk,ai-native,ai,yes,verdict,Steal the 'follow the money' verdict framing to expose who actually profits from AI infrastructure spend.,"Explicitly about AI data center economics with no date-pegged claim, so it holds up over time."
How AI Datacenters Eat the World,High Yield,13.38,121000,2026-07-29,https://www.youtube.com/watch?v=dhqoTku-HAA,ai-native,ai,yes,scale-ladder,Reuse the escalating-scale structure (small footprint → global consumption) to dramatize AI's compute/energy appetite.,"AI infrastructure topic framed as an expanding-scale phenomenon, not tied to a specific date."
Why Tech Companies Are Quietly Cancelling AI Data Centers,Economy Media,8.94,130000,2026-07-29,https://www.youtube.com/watch?v=e0Dlr07jfjA,ai-native,ai,no,verdict,The quiet-reversal narrative device (companies backing off a hyped bet) transfers well to any AI-hype-correction story once framed generically.,"AI-specific but pegged to a current, reversible news cycle of cancellations."
Lost in the Hype: AI Will Never Become Conscious | Sir Roger Penrose (Nobel),This Is The World,6.22,62000,2026-07-29,https://www.youtube.com/watch?v=e9484gNpFF8,ai-native,ai,yes,verdict,Use the credentialed-expert-delivers-a-verdict structure for any 'can AI really do X' myth-busting episode.,"A philosophical claim about AI consciousness argued by a named expert, which doesn't expire."
"Why AI Will Never Become Conscious, According To Neuroscientist Anil Seth",Noema Magazine,81.81,25800,2026-07-29,https://www.youtube.com/watch?v=Jg7ooLzzXeg,ai-native,ai,yes,verdict,Same expert-verdict template — swap in a different AI capability myth to bust.,Same durable philosophical/scientific argument structure as #6.
"No, AI Isn’t Conscious; It’s Actually Much Worse | AI Scientist",Decoded Genius Clips,95.41,15700,2026-07-29,https://www.youtube.com/watch?v=FS_hLDTDI1w,ai-native,ai,yes,verdict,"The 'no, it's worse than you think' twist-verdict is a strong hook shape for any AI-risk reframing video.","Argues a timeless claim about what AI actually is, sourced to an expert rather than an event."
Why AI Can Never Escape Turing's 1936 Proof,Universal Resilience with JT Yu,69.05,17800,2026-07-29,https://www.youtube.com/watch?v=u_5erLilDXY,ai-native,ai,yes,framework,Borrow the historical-proof-meets-modern-tech framework to ground any 'AI's fundamental limit' video in a rigorous first-principles argument.,"Ties AI limits to a mathematical proof, which is permanently true regardless of model generation."
Things AI Will Never Understand,Fractal Philosophy,6.03,132000,2026-07-29,https://www.youtube.com/watch?v=F4KQ8wBt1Qg,ai-native,ai,yes,list,Reuse the countdown-of-limitations list format for a video enumerating durable AI blind spots.,General capability-limits claim with no date attached.
SIMPLEST Explanation of How Artificial Intelligence Works? No Jargon | What is AI? How AI works?,Science Simplified 4 All,7.91,213000,2026-07-29,https://www.youtube.com/watch?v=m8o2GrbR3d8,ai-native,ai,yes,explainer,Steal the no-jargon beginner-explainer promise/structure for an entry-level AI mechanism episode.,Basic conceptual AI explainer with no expiring reference.
Every AI Model Explained As Easily As Possible For Beginners,explain dot exe,7.57,30500,2026-07-29,https://www.youtube.com/watch?v=1HC6umpGA1o,ai-native,ai,no,list,"The exhaustive-catalog list format works, but must be rebuilt as a mechanism-based list (types of architectures) instead of named current models.",A roundup of specific current models that a new release will immediately date.
Every AI Model Explained in 17 Minutes,Just Explained,5.81,9400,2026-07-29,https://www.youtube.com/watch?v=h1MEtoxegzw,ai-native,ai,no,list,Same catalog-list device as #12 — reusable if reframed around timeless categories rather than named products.,Same 'every model explained' roundup problem tied to today's model lineup.
Every AI Model Explained in 19 Minutes,Explainer Chris,17.91,51300,2026-07-29,https://www.youtube.com/watch?v=K2Eki-SbEgY,ai-native,ai,no,list,"Same catalog-list device again — proves this exact title is a recurring, repeatedly-outlier-performing template worth adapting structurally.","Third instance of the same current-model-roundup, invalidated by new releases."
"Godfather of AI: ""These jobs won't exist in 24 months...""",IQByte,5.81,4300,2026-07-29,https://www.youtube.com/watch?v=7c1xhcV9QqU,ai-native,ai,no,verdict,The named-authority doomsday quote is a strong hook device — reusable once stripped of the specific timeframe.,Explicit '24 months' countdown makes the claim expire on a clock.
AI took my job as a translator. I'm starting over at 39,Midlife Crisis Diaries,40.84,7210,2026-07-29,https://www.youtube.com/watch?v=OovTIngZtCY,ai-native,ai,yes,mystery,"The first-person 'AI took my job, here's my reckoning' confessional arc is directly reusable for an AI-labor-displacement story.",A personal displacement narrative about AI whose emotional core doesn't depend on any date.
15 Jobs AI Will NEVER Replace,InfoCaretaker,60.42,2080,2026-07-29,https://www.youtube.com/watch?v=Ds70qs4JyJc,ai-native,ai,yes,list,Reuse the 'safe jobs' countdown list structure for an AI-and-labor video with a reassuring angle.,General claim about AI's limits on labor with no expiring reference.
30 JOBS AI Will Erase Instantly,Oddly Real,5.43,39700,2026-07-29,https://www.youtube.com/watch?v=SNpyor7tO7Y,ai-native,ai,yes,list,Reuse the alarming countdown-list structure for an AI-labor-disruption video with an urgent angle.,"General sweeping claim about AI replacing jobs, not tied to a date."
15 Jobs AI Will Replace by 2030 Explained — The Real List,Mr. Harris,21.76,11700,2026-07-29,https://www.youtube.com/watch?v=IFW1f6iDd4E,ai-native,ai,no,list,Same jobs-list device as #17/#18 but must drop the explicit target year to stay evergreen.,Explicit '2030' deadline makes the specific claim expire.
How LLMs Actually Generate Text  (Every Dev Should Know This),LearnThatStack,7.57,110000,2026-07-29,https://www.youtube.com/watch?v=NKnZYvZA7w4,ai-native,ai,yes,explainer,Use the model-agnostic mechanism-explainer structure ('every dev should know this') for any core AI-technique deep dive.,"Explains how LLMs generate text as a general mechanism, unaffected by any single release."
"Ex-OpenAI Scientist WARNS: ""You Have No Idea What's Coming""",AI Upload,52.34,108000,2026-07-29,https://www.youtube.com/watch?v=79-bApI3GIU,ai-native,ai,yes,mystery,The insider-warning withheld-reveal hook ('you have no idea what's coming') is directly reusable for an AI-risk teaser.,"A vague, non-dated warning from a named insider that stays intriguing regardless of when it's watched."
AI Simply Explained In 12 Minutes,Future with Fawzi,21.21,4610,2026-07-29,https://www.youtube.com/watch?v=dx_Ruw8vufI,ai-native,ai,yes,explainer,Reuse the tight single-session 'AI simply explained' promise as a template for a concept-dense explainer.,General AI explainer with no time-sensitive claims.
ChatGPT Mistakes (but they get increasingly more DUMB),DareQuest,102.05,5410,2026-07-29,https://www.youtube.com/watch?v=HxHLboZvFrw,ai-native,ai,yes,list,The escalating-absurdity compilation format ('increasingly dumber') works for a video cataloguing durable AI failure modes like hallucination.,"General claim about model error behavior, not tied to a specific model version's news cycle."
"Three Ai agents realize they're all AI, then switch to a Secret Language...",Ai Convo,55.34,68600,2026-07-29,https://www.youtube.com/watch?v=gGpFB3ms6rU,ai-native,ai,yes,mystery,The self-discovery/secret-communication reveal arc is a strong narrative device for any multi-agent-AI mystery video.,A speculative/creative AI-behavior scenario with no dependency on current events.
Veritasium: What Everyone Gets Wrong About AI and Learning – Derek Muller Explains,Perimeter Institute for Theoretical Physics,20.17,247000,2026-07-29,https://www.youtube.com/watch?v=0xS68sl2D70,ai-native,ai,yes,verdict,Borrow the trusted-communicator myth-correction verdict structure for any 'what everyone gets wrong about AI' episode.,"A general myth-busting argument about AI and learning, sourced to an expert rather than a news event."
Jimmy Carr on Why Everyone Is Wrong About AI,TRIGGERnometry Clips,12.42,39600,2026-07-29,https://www.youtube.com/watch?v=jaYOskvlq18,ai-native,ai,yes,verdict,Use the contrarian-celebrity-take structure to open a video with a bold reframe of the AI conversation before backing it with evidence.,"Directly about AI, and a structural 'everyone's wrong about X' take doesn't expire."
Stupid AI Responses...  😭,Gurtyo,14.8,62300,2026-07-29,https://www.youtube.com/watch?v=-6fjiU_9klA,ai-native,no,no,clip,-,"Pure reaction/meme compilation with no narrative structure to transfer, and it ages with the specific screenshots shown."
