outlier,views,subs,channel,found_via,ai_hint,published,evergreen,title,url,about_ai,evergreen_llm,shape,adapt,why
15.34,165669,10800,TikTok Heartbreaks,adjacent,-,2026-08-31,maybe,Why Women Regret Making Their Lifestyle Too Expensive,https://www.youtube.com/watch?v=RElNWhQP75s,adjacent,yes,verdict,Reframe 'expensive lifestyle regret' as 'the AI dependency you didn't notice you built' — same structure of a comfortable choice quietly turning into a trap.,"Not about AI but its regret/consequence structure transfers; lifestyle-creep is a durable human pattern, not a news event."
5.66,12178,2150,Unplanned and Unprepared,ai-native,term,2026-09-02,maybe,life after AI took my job #2,https://www.youtube.com/watch?v=qiME9vTdfbE,ai,yes,clip,"Use the same first-person diary-entry format to narrate an ordinary worker's life after AI absorbs their duties, numbered as an ongoing series.",Directly about AI job loss; the personal-fallout arc has no expiry date.
5.48,11779,2150,Unplanned and Unprepared,ai-native,term,2026-09-08,maybe,"No Degree, No Interview | Life After AI Took My Job",https://www.youtube.com/watch?v=NVJ8TFxudl8,ai,yes,clip,"Carry the 'no degree, no interview' rejection-cascade structure into a segment on credentials losing value once AI can do the screened-for task.",Explicitly about AI displacing a job path; the credential-devaluation pattern will still be true in a year.
3.92,8432,2150,Unplanned and Unprepared,ai-native,term,2026-09-09,maybe,3 weeks unemployed after losing my job to AI,https://www.youtube.com/watch?v=vvlHiL1ECpE,ai,yes,clip,Mirror the countdown-style unemployment-clock framing for a segment tracking how long displaced workers stay out before re-skilling or falling out of the workforce.,"Explicitly AI-caused job loss; the ticking-clock unemployment narrative is structural, not tied to a date."
3.45,7421,2150,Unplanned and Unprepared,ai-native,-,2026-08-30,maybe,the interview that never happened.,https://www.youtube.com/watch?v=YI5QSTqeb9E,adjacent,yes,mystery,Borrow the cliffhanger 'the X that never happened' hook for an AI story about a job offer silently withdrawn once a company automated the role.,"Title itself doesn't name AI, but the rejection-in-limbo hook is a transferable grievance structure with no expiry."
3.36,85589,25500,Raghulan's Insights,ai-native,-,2026-09-08,maybe,NO MORE CAB DRIVERS? ELON MUSK’S PLAN 🤖 | Taxi | Job | Work #business,https://www.youtube.com/watch?v=ygbyIbVZ_z4,ai,yes,verdict,Use the same provocative-question verdict framing ('no more cab drivers?') for other trades facing an AI/robotics displacement verdict.,"About AI-driven robotaxis replacing drivers; naming Musk/a company is fine, the labor-displacement question is durable."
3.3,7101,2150,Unplanned and Unprepared,ai-native,term,2026-08-31,maybe,"AI took my tech job, so I'm trying movies",https://www.youtube.com/watch?v=eyEc7xLtBgM,ai,yes,clip,"Reuse the 'AI took my job, so I'm pivoting to X' personal-reinvention arc as a template for showing displaced workers chasing a new, less-automatable field.",Directly about AI job loss and a career pivot; the reinvention narrative doesn't date.
3.29,7075,2150,Unplanned and Unprepared,ai-native,term,2026-09-04,maybe,life after AI took my job #3,https://www.youtube.com/watch?v=FKjk9w4YFvg,ai,yes,clip,Continue the same numbered diary format to show escalating stakes in an ongoing AI-displacement story.,Explicitly about AI job loss; the serialized personal-fallout format stays relevant indefinitely.
3.25,393386,121000,AI Upload,ai-native,term,2026-09-04,maybe,"AI Whistleblower WARNS: ""They Are Hiding What's Coming""",https://www.youtube.com/watch?v=zqCGxY1Ea8k,ai,yes,mystery,Use the insider-warning mystery frame ('they're hiding what's coming') to open a video on an unresolved AI risk or capability question.,Explicitly about AI secrecy/danger; the withheld-insider-knowledge hook has no built-in expiry.
3.14,6758,2150,Unplanned and Unprepared,ai-native,-,2026-09-01,maybe,the interview that never happened… again,https://www.youtube.com/watch?v=HM9lfQPDFKU,adjacent,yes,mystery,"Repeat the recurring cliffhanger structure ('...again') to show AI quietly repeating the same harm to a worker a second time, deepening the same open loop.","Title doesn't name AI directly, but the repeating-injustice cliffhanger structure is a durable, transferable grievance format."
